Bairro;Data;Acidentes de Trânsito
Militar;01.01.2013;0
Canto do Forte;01.01.2013;16
Boqueirão;01.01.2013;38
Guilhermina;01.01.2013;23
Aviação;01.01.2013;7
Tupi;01.01.2013;10
Ocian;01.01.2013;3
Mirim;01.01.2013;7
Maracanã;01.01.2013;0
Caiçara;01.01.2013;0
Real ;01.01.2013;0
Flórida;01.01.2013;0
Solemar;01.01.2013;0
Cidade da Criança;01.01.2013;0
Princesa;01.01.2013;0
Imperador;01.01.2013;0
Melvi;01.01.2013;0
Samambaia;01.01.2013;1
Esmeralda;01.01.2013;0
Ribeirópolis;01.01.2013;0
Andaraguá;01.01.2013;0
Nova Mirim;01.01.2013;2
Anhanguera;01.01.2013;2
Quietude;01.01.2013;4
Santa Marina;01.01.2013;0
Tupiry;01.01.2013;1
Antártica;01.01.2013;7
Vila Sônia;01.01.2013;2
Glória;01.01.2013;2
Sítio do Campo;01.01.2013;13
Xixová;01.01.2013;11
Serra do Mar;01.01.2013;0
Não Informado;01.01.2013;0
Militar;01.01.2014;0
Canto do Forte;01.01.2014;14
Boqueirão;01.01.2014;38
Guilhermina;01.01.2014;24
Aviação;01.01.2014;20
Tupi;01.01.2014;8
Ocian;01.01.2014;8
Mirim;01.01.2014;7
Maracanã;01.01.2014;0
Caiçara;01.01.2014;0
Real ;01.01.2014;0
Flórida;01.01.2014;0
Solemar;01.01.2014;0
Cidade da Criança;01.01.2014;0
Princesa;01.01.2014;0
Imperador;01.01.2014;0
Melvi;01.01.2014;0
Samambaia;01.01.2014;1
Esmeralda;01.01.2014;0
Ribeirópolis;01.01.2014;0
Andaraguá;01.01.2014;0
Nova Mirim;01.01.2014;5
Anhanguera;01.01.2014;6
Quietude;01.01.2014;3
Santa Marina;01.01.2014;0
Tupiry;01.01.2014;4
Antártica;01.01.2014;7
Vila Sônia;01.01.2014;2
Glória;01.01.2014;3
Sítio do Campo;01.01.2014;7
Xixová;01.01.2014;15
Serra do Mar;01.01.2014;0
Não Informado;01.01.2014;0
Militar;01.01.2015;0
Canto do Forte;01.01.2015;7
Boqueirão;01.01.2015;29
Guilhermina;01.01.2015;29
Aviação;01.01.2015;17
Tupi;01.01.2015;26
Ocian;01.01.2015;15
Mirim;01.01.2015;19
Maracanã;01.01.2015;6
Caiçara;01.01.2015;12
Real ;01.01.2015;2
Flórida;01.01.2015;0
Solemar;01.01.2015;4
Cidade da Criança;01.01.2015;1
Princesa;01.01.2015;0
Imperador;01.01.2015;0
Melvi;01.01.2015;2
Samambaia;01.01.2015;7
Esmeralda;01.01.2015;4
Ribeirópolis;01.01.2015;1
Andaraguá;01.01.2015;0
Nova Mirim;01.01.2015;5
Anhanguera;01.01.2015;5
Quietude;01.01.2015;6
Santa Marina;01.01.2015;0
Tupiry;01.01.2015;4
Antártica;01.01.2015;6
Vila Sônia;01.01.2015;6
Glória;01.01.2015;3
Sítio do Campo;01.01.2015;13
Xixová;01.01.2015;17
Serra do Mar;01.01.2015;0
Não Informado;01.01.2015;0
Militar;01.01.2016;0
Canto do Forte;01.01.2016;16
Boqueirão;01.01.2016;38
Guilhermina;01.01.2016;26
Aviação;01.01.2016;7
Tupi;01.01.2016;9
Ocian;01.01.2016;14
Mirim;01.01.2016;12
Maracanã;01.01.2016;4
Caiçara;01.01.2016;14
Real ;01.01.2016;4
Flórida;01.01.2016;1
Solemar;01.01.2016;0
Cidade da Criança;01.01.2016;0
Princesa;01.01.2016;0
Imperador;01.01.2016;1
Melvi;01.01.2016;3
Samambaia;01.01.2016;3
Esmeralda;01.01.2016;1
Ribeirópolis;01.01.2016;4
Andaraguá;01.01.2016;0
Nova Mirim;01.01.2016;9
Anhanguera;01.01.2016;5
Quietude;01.01.2016;6
Santa Marina;01.01.2016;0
Tupiry;01.01.2016;2
Antártica;01.01.2016;6
Vila Sônia;01.01.2016;5
Glória;01.01.2016;1
Sítio do Campo;01.01.2016;8
Xixová;01.01.2016;26
Serra do Mar;01.01.2016;0
Não Informado;01.01.2016;0
Militar;01.01.2017;0
Canto do Forte;01.01.2017;10
Boqueirão;01.01.2017;19
Guilhermina;01.01.2017;17
Aviação;01.01.2017;11
Tupi;01.01.2017;15
Ocian;01.01.2017;10
Mirim;01.01.2017;10
Maracanã;01.01.2017;3
Caiçara;01.01.2017;14
Real ;01.01.2017;9
Flórida;01.01.2017;0
Solemar;01.01.2017;1
Cidade da Criança;01.01.2017;1
Princesa;01.01.2017;0
Imperador;01.01.2017;0
Melvi;01.01.2017;0
Samambaia;01.01.2017;4
Esmeralda;01.01.2017;2
Ribeirópolis;01.01.2017;1
Andaraguá;01.01.2017;0
Nova Mirim;01.01.2017;4
Anhanguera;01.01.2017;1
Quietude;01.01.2017;5
Santa Marina;01.01.2017;0
Tupiry;01.01.2017;1
