Bairro;Ano;Acidentes de Trânsito Por Ano;
Militar;2024;0;
Canto do Forte;2024;57;
Boqueirão;2024;103;
Guilhermina;2024;114;
Aviação;2024;58;
Tupi;2024;72;
Ocian;2024;47;
Mirim;2024;67;
Maracanã;2024;46;
Caiçara;2024;65;
Real;2024;28;
Flórida;2024;4;
Solemar;2024;14;
Cidade da Criança;2024;8;
Princesa;2024;22;
Imperador;2024;6;
Melvi;2024;24;
Samambaia;2024;46;
Esmeralda;2024;28;
Ribeirópolis;2024;64;
Andaraguá;2024;21;
Nova Mirim;2024;122;
Anhanguera;2024;39;
Quietude;2024;27;
Santa Marina;2024;0;
Tupiry;2024;32;
Antártica;2024;63;
Vila Sônia;2024;27;
Glória;2024;23;
Sítio do Campo;2024;124;
Xixová;2024;30;
Serra do Mar;2024;0;
Não identificado;2024;38;
Militar;2023;0;
Canto do Forte;2023;49;
Boqueirão;2023;94;
Guilhermina;2023;88;
Aviação;2023;72;
Tupi;2023;88;
Ocian;2023;61;
Mirim;2023;72;
Maracanã;2023;35;
Caiçara;2023;61;
Real;2023;22;
Flórida;2023;6;
Solemar;2023;2;
Cidade da Criança;2023;19;
Princesa;2023;26;
Imperador;2023;14;
Melvi;2023;20;
Samambaia;2023;38;
Esmeralda;2023;35;
Ribeirópolis;2023;68;
Andaraguá;2023;18;
Nova Mirim;2023;90;
Anhanguera;2023;30;
Quietude;2023;15;
Santa Marina;2023;8;
Tupiry;2023;20;
Antártica;2023;50;
Vila Sônia;2023;28;
Glória;2023;44;
Sítio do Campo;2023;156;
Xixová;2023;7;
Serra do Mar;2023;0;
Não identificado;2023;62;
Militar;2022;0;
Canto do Forte;2022;45;
Boqueirão;2022;83;
Guilhermina;2022;112;
Aviação;2022;76;
Tupi;2022;77;
Ocian;2022;64;
Mirim;2022;37;
Maracanã;2022;28;
Caiçara;2022;64;
Real;2022;17;
Flórida;2022;13;
Solemar;2022;5;
Cidade da Criança;2022;26;
Princesa;2022;14;
Imperador;2022;21;
Melvi;2022;18;
Samambaia;2022;27;
Esmeralda;2022;40;
Ribeirópolis;2022;61;
Andaraguá;2022;6;
Nova Mirim;2022;97;
Anhanguera;2022;21;
Quietude;2022;14;
Santa Marina;2022;0;
Tupiry;2022;16;
Antártica;2022;60;
Vila Sônia;2022;34;
Glória;2022;42;
Sítio do Campo;2022;174;
Xixová;2022;0;
Serra do Mar;2022;0;
Não identificado;2022;19;
Militar;2021;0;
Canto do Forte;2021;31;
Boqueirão;2021;94;
Guilhermina;2021;67;
Aviação;2021;53;
Tupi;2021;63;
Ocian;2021;47;
Mirim;2021;60;
Maracanã;2021;32;
Caiçara;2021;47;
Real;2021;13;
Flórida;2021;4;
Solemar;2021;11;
Cidade da Criança;2021;7;
Princesa;2021;6;
Imperador;2021;0;
Melvi;2021;21;
Samambaia;2021;45;
Esmeralda;2021;25;
Ribeirópolis;2021;23;
Andaraguá;2021;0;
Nova Mirim;2021;15;
Anhanguera;2021;17;
Quietude;2021;16;
Santa Marina;2021;0;
Tupiry;2021;12;
Antártica;2021;29;
Vila Sônia;2021;36;
Glória;2021;16;
Sítio do Campo;2021;82;
Xixová;2021;43;
Serra do Mar;2021;0;
Não identificado;2021;15;
Militar;2020;0;
Canto do Forte;2020;55;
Boqueirão;2020;77;
Guilhermina;2020;60;
Aviação;2020;42;
Tupi;2020;45;
Ocian;2020;37;
Mirim;2020;45;
Maracanã;2020;30;
Caiçara;2020;44;
Real;2020;12;
Flórida;2020;6;
Solemar;2020;8;
Cidade da Criança;2020;5;
Princesa;2020;5;
Imperador;2020;0;
Melvi;2020;10;
Samambaia;2020;53;
Esmeralda;2020;18;
Ribeirópolis;2020;42;
Andaraguá;2020;1;
Nova Mirim;2020;28;
Anhanguera;2020;22;
Quietude;2020;22;
Santa Marina;2020;0;
Tupiry;2020;8;
Antártica;2020;35;
Vila Sônia;2020;12;
Glória;2020;25;
Sítio do Campo;2020;53;
Xixová;2020;37;
Serra do Mar;2020;0;
Não identificado;2020;25;
Militar;2019;0;
Canto do Forte;2019;58;
Boqueirão;2019;160;
Guilhermina;2019;128;
Aviação;2019;68;
Tupi;2019;75;
Ocian;2019;80;
Mirim;2019;72;
Maracanã;2019;28;
Caiçara;2019;52;
Real;2019;22;
Flórida;2019;4;
Solemar;2019;9;
Cidade da Criança;2019;6;
Princesa;2019;1;
Imperador;2019;0;
Melvi;2019;29;
Samambaia;2019;43;
Esmeralda;2019;29;
Ribeirópolis;2019;32;
Andaraguá;2019;0;
Nova Mirim;2019;34;
Anhanguera;2019;28;
Quietude;2019;37;
Santa Marina;2019;0;
Tupiry;2019;12;
Antártica;2019;43;
Vila Sônia;2019;26;
Glória;2019;31;
Sítio do Campo;2019;80;
Xixová;2019;74;
Serra do Mar;2019;0;
Não identificado;2019;17;
Militar;2018;0;
Canto do Forte;2018;45;
Boqueirão;2018;136;
Guilhermina;2018;115;
Aviação;2018;77;
Tupi;2018;110;
Ocian;2018;93;
Mirim;2018;68;
Maracanã;2018;18;
Caiçara;2018;34;
Real;2018;14;
Flórida;2018;11;
Solemar;2018;6;
Cidade da Criança;2018;2;
Princesa;2018;4;
Imperador;2018;0;
Melvi;2018;12;
Samambaia;2018;27;
Esmeralda;2018;20;
Ribeirópolis;2018;14;
Andaraguá;2018;1;
Nova Mirim;2018;34;
Anhanguera;2018;28;
Quietude;2018;17;
Santa Marina;2018;0;
Tupiry;2018;21;
Antártica;2018;37;
Vila Sônia;2018;24;
Glória;2018;19;
Sítio do Campo;2018;83;
Xixová;2018;37;
Serra do Mar;2018;0;
Não identificado;2018;4;
Militar;2017;0;
Canto do Forte;2017;79;
Boqueirão;2017;250;
Guilhermina;2017;195;
Aviação;2017;111;
Tupi;2017;130;
Ocian;2017;138;
Mirim;2017;115;
Maracanã;2017;25;
Caiçara;2017;87;
Real;2017;27;
Flórida;2017;10;
Solemar;2017;15;
Cidade da Criança;2017;6;
Princesa;2017;10;
Imperador;2017;0;
Melvi;2017;31;
Samambaia;2017;56;
Esmeralda;2017;38;
Ribeirópolis;2017;28;
Andaraguá;2017;0;
Nova Mirim;2017;49;
Anhanguera;2017;52;
