Ano;Localidade;Tipo;Valor
2010;Praia Grande;Automóvel;47540
2010;RMBS;Automóvel;353218
2010;Praia Grande;Motocicleta;26372
2010;RMBS;Motocicleta;194148
2010;Praia Grande;Outros;7646
2010;RMBS;Outros;74458
2011;Praia Grande;Automóvel;53734
2011;RMBS;Automóvel;379593
2011;Praia Grande;Motocicleta;29272
2011;RMBS;Motocicleta;210128
2011;Praia Grande;Outros;8659
2011;RMBS;Outros;82252
2012;Praia Grande;Automóvel;59730
2012;RMBS;Automóvel;405563
2012;Praia Grande;Motocicleta;31888
2012;RMBS;Motocicleta;223677
2012;Praia Grande;Outros;9761
2012;RMBS;Outros;88416
2013;Praia Grande;Automóvel;65916
2013;RMBS;Automóvel;428880
2013;Praia Grande;Motocicleta;34379
2013;RMBS;Motocicleta;235725
2013;Praia Grande;Outros;11128
2013;RMBS;Outros;94657
2014;Praia Grande;Automóvel;70422
2014;RMBS;Automóvel;445642
2014;Praia Grande;Motocicleta;36608
2014;RMBS;Motocicleta;246542
2014;Praia Grande;Outros;12206
2014;RMBS;Outros;99565
2015;Praia Grande;Automóvel;73968
2015;RMBS;Automóvel;457611
2015;Praia Grande;Motocicleta;38383
2015;RMBS;Motocicleta;256162
2015;Praia Grande;Outros;13011
2015;RMBS;Outros;102838
2016;Praia Grande;Automóvel;76970
2016;RMBS;Automóvel;466133
2016;Praia Grande;Motocicleta;39894
2016;RMBS;Motocicleta;263342
2016;Praia Grande;Outros;13192
2016;RMBS;Outros;104917
2017;Praia Grande;Automóvel;80502
2017;RMBS;Automóvel;476722
2017;Praia Grande;Motocicleta;41170
2017;RMBS;Motocicleta;270306
2017;Praia Grande;Outros;13496
2017;RMBS;Outros;106820
2018;Praia Grande;Automóvel;84212
2018;RMBS;Automóvel;489730
2018;Praia Grande;Motocicleta;42910
2018;RMBS;Motocicleta;277993
2018;Praia Grande;Outros;13904
2018;RMBS;Outros;110149
2019;Praia Grande;Automóvel;88499
2019;RMBS;Automóvel;503050
2019;Praia Grande;Motocicleta;44933
2019;RMBS;Motocicleta;287851
2019;Praia Grande;Outros;14667
2019;RMBS;Outros;114849
2020;Praia Grande;Automóvel;92350
2020;RMBS;Automóvel;516290
2020;Praia Grande;Motocicleta;47073
2020;RMBS;Motocicleta;297280
2020;Praia Grande;Outros;15339
2020;RMBS;Outros;120326
2021;Praia Grande;Automóvel;95993
2021;RMBS;Automóvel;524919
2021;Praia Grande;Motocicleta;49807
2021;RMBS;Motocicleta;308342
2021;Praia Grande;Outros;16245
2021;RMBS;Outros;125658
2022;Praia Grande;Automóvel;98694
2022;RMBS;Automóvel;530894
2022;Praia Grande;Motocicleta;52678
2022;RMBS;Motocicleta;319060
2022;Praia Grande;Outros;17392
2022;RMBS;Outros;129754
2023;Praia Grande;Automóvel;102528
2023;RMBS;Automóvel;542089
2023;Praia Grande;Motocicleta;55747
2023;RMBS;Motocicleta;331567
2023;Praia Grande;Outros;18610
2023;RMBS;Outros;134299
2024;Praia Grande;Automóvel;107946
2024;RMBS;Automóvel;556675
2024;Praia Grande;Motocicleta;58954
2024;RMBS;Motocicleta;346508
2024;Praia Grande;Outros;20587
2024;RMBS;Outros;142213
