Ano;Tipo;"Infraestrutura
(m)";;;;
2010;Ciclofaixa;-;;;;
2010;Ciclovia;72.297;;;;
2011;Ciclofaixa;-;;;;
2011;Ciclovia;76.567;;;;
2012;Ciclofaixa;-;;;;
2012;Ciclovia;78.937;;;;
2013;Ciclofaixa;7.442;;;;
2013;Ciclovia;72.087;;;;
2014;Ciclofaixa;7.442;;;;
2014;Ciclovia;72.087;;;;
2015;Ciclofaixa;7.442;;;;
2015;Ciclovia;72.087;;;;
2016;Ciclofaixa;5.167;;;;
2016;Ciclovia;79.062;;;;
2017;Ciclofaixa;4.355;;;;
2017;Ciclovia;90.062;;;;
2018;Ciclofaixa;4.355;;;;
2018;Ciclovia;90.062;;;;
2019;Ciclofaixa;1.786;;;;
2019;Ciclovia;95.975;;;;
2020;Ciclofaixa;2.887;;;;
2020;Ciclovia;96.094;;;;
2021;Ciclofaixa;2.887;;;;
2021;Ciclovia;96.094;;;;
2022;ciclofaixa;2.887;;;;
2022;ciclovia;96.094;;;;
