Ano;Vias;Metros
2010;Abertas;791.650,00
2010;Pavimentadas;741.379,00
2011;Abertas;802.915,00
2011;Pavimentadas;752.644,00
2012;Abertas;804.767,00
2012;Pavimentadas;763.068,00
2013;Abertas;804.765,00
2013;Pavimentadas;761.749,00
2014;Abertas;807.763,00
2014;Pavimentadas;766.899,00
2015;Abertas;812.910,00
2015;Pavimentadas;784.569,00
2016;Abertas;814.880,00
2016;Pavimentadas;787.320,00
2017;Abertas;814.880,00
2017;Pavimentadas;787.320,00
2018;Abertas;805.616,32
2018;Pavimentadas;790.042,42
2019;Abertas;806.402,86
2019;Pavimentadas;785.429,31
2020;Abertas;807.288,51
2020;Pavimentadas;796.024,35
2021;Abertas;807.422,56
2021;Pavimentadas;796.551,15
