Ano;Localidade;Linhas Intermunicipais;Frota Operacional - Média Dias Úteis;Passageiros Transportados - Média Dias Úteis
2010;Praia Grande;16;95;61.459
2011;Praia Grande;17;134;64.003
2012;Praia Grande;20;144;65.763
2013;Praia Grande;18;156;64.355
2014;Praia Grande;21;162;63.384
2015;Praia Grande;21;139;63.280
2016;Praia Grande;20;140;61.569
2017;Praia Grande;18;141;61.222
2018;Praia Grande;18;144;61.178
2019;Praia Grande;26;165;73.435
2020;Praia Grande;17;142;42.733
2021;Praia Grande;17;147;47.718
2022;Praia Grande;20;153;55.808
2023;Praia Grande;20;151;62.856
2010;RMBS;60;483;202.359
2011;RMBS;61;489;210.424
2012;RMBS;65;526;212.947
2013;RMBS;62;557;207.868
2014;RMBS;65;552;204.332
2015;RMBS;65;568;204.427
2016;RMBS;67;487;204.338
2017;RMBS;66;485;207.443
2018;RMBS;65;485;211.262
2019;RMBS;74;498;216.484
2020;RMBS;58;451;141.582
2021;RMBS;58;456;150.380
2022;RMBS;57;370;151.010
2023;RMBS;62;249;172.839
