Ano;Acidentes em relação a população PG (p/ 100.000 habitantes);Mortes em relação a frota PG (p/ 10.000 veículos.);Fatalidade nos acidentes PG (n° de mortes p/ 100 acidentes)
2010;781,90;1,90;0,80
2011;670,90;1,60;0,90
2012;685,40;1,00;0,60
2013;586,10;1,20;0,87
2014;602,10;0,40;0,30
2015;832,28;0,80;0,50
2016;753,70;0,80;0,60
2017;691,90;2,40;1,80
2018;423,90;2,60;3,30
2019;487,70;0,90;1,10
2020;328,94;1,30;2,00
2021;354,90;1,00;1,80
2022;380,18;2,52;3,55
2023;413,14;2,71;3,32
2024;412,29;2,40;3,33
;;;
;;;
;;;
;;;
